filename,process_name,domain_slug,domain_name,slug,orkg_url,description
pcr-master-schema.json,Polymerase Chain Reaction (PCR),biology,Biology & Biotechnology,pcr,https://orkg.org/templates/R1640868,The Polymerase Chain Reaction (PCR) is a laboratory technique used to make millions of copies of a specific DNA segment.
crispr-cas-master-schema.json,CRISPR-Cas9,biology,Biology & Biotechnology,crispr-cas9,,CRISPR-Cas9 is a gene-editing process that enables precise modification of DNA within living cells.
electrical-cell-stimulation-master-schema.json,Electrical Cell Stimulation,biology,Biology & Biotechnology,electrical-cell-stimulation,,Electrical cell stimulation is a technique in which controlled electric currents or fields are applied to cells to influence their behavior and function.
RNA-seq-DGE-workflow-master-schema.json,RNA-Seq Differential Gene Expression Analysis Workflow,biology,Biology & Biotechnology,rna-seq-dge-workflow,https://orkg.org/templates/R1644878,RNA-Seq differential gene expression analysis is a computational workflow used to quantify and compare gene activity across biological conditions.
RNA-seq-end-to-end-experiment-master-schema.json,Bulk RNA-seq Library Preparation and Sequencing,biology,Biology & Biotechnology,rna-seq-library-preparation,https://orkg.org/templates/R1644668,RNA sequencing library preparation is the process used to turn RNA from biological samples into a form that can be read by sequencing machines.
fatigue-testing-master-schema.json,Fatigue Testing of Metallic Materials,materials,Materials & Chemistry,fatigue-testing,https://orkg.org/templates/R1643108,Fatigue testing is a destructive mechanical testing process in which a metallic specimen is subjected to repeated cyclic loading until failure occurs.
steam-reforming-master-schema.json,Steam Reforming,materials,Materials & Chemistry,steam-reforming,,Steam reforming is an industrial process used to produce hydrogen by reacting hydrocarbons with high-temperature steam.
solvent-casting-master-schema.json,Solvent Casting for Polymer Composites,materials,Materials & Chemistry,solvent-casting,,Solvent casting for polymer composites is a fabrication process in which a polymer is dissolved in a suitable solvent and cast into a solid composite film.
catalytic-pyrolysis-plastic-waste-master-schema.json,Catalytic Pyrolysis of Mixed Plastic Waste,materials,Materials & Chemistry,catalytic-pyrolysis,https://orkg.org/templates/R1642000,Catalytic pyrolysis is a thermal recycling process that breaks down plastic waste into valuable fuels and chemicals using heat and catalysts.
moc-master-schema.json,Metal-Organic Cage Synthesis,materials,Materials & Chemistry,metal-organic-cage-synthesis,,Metal-organic cages are synthesized through coordination-driven self-assembly of metal ions and organic ligands.
DMA-master-schema.json,Dynamic Mechanical Analysis (DMA),materials,Materials & Chemistry,dynamic-mechanical-analysis,,Dynamic Mechanical Analysis is used to study how a material responds to time-varying mechanical forces.
iterative-xray-ct-master-schema.json,Iterative Tomographic Image Reconstruction,imaging,Imaging & Measurement,iterative-xray-ct-reconstruction,,Iterative tomographic image reconstruction is a digital guess-and-check method used to create internal 2D or 3D images from raw X-ray data.
mea-measurements-master-schema.json,Multi-Electrode Array (MEA) Recordings,imaging,Imaging & Measurement,mea-recordings,,Multi-electrode array recordings are used to measure the electrical activity of cells using a grid of microelectrodes.
neutrino-event-reconstruction-master-schema.json,Neutrino Event Reconstruction,physics,Physics,neutrino-event-reconstruction,https://orkg.org/templates/R1644988,Neutrino event reconstruction transforms detector signals into estimates of particle interactions and physical quantities.
stroop-task-master-schema.json,Stroop Task,psychology,Psychology,stroop-task,https://orkg.org/templates/R1643165,The Stroop task is a cognitive experiment used to measure how the brain processes conflicting information.
TTCT-master-schema.json,Torrance Tests of Creative Thinking (TTCT),psychology,Psychology,ttct,https://orkg.org/templates/R1699271,The Torrance Tests of Creative Thinking are standardized psychological assessments designed to evaluate creative thinking abilities.
